Classe Geral,Classe específica,Código IFES,"
ASSUNTO",FASE CORRENTE,FASE INTER- MEDIÁRIA,"
DESTINAÇÃO FINAL","
OBSERVAÇÕES"
100,100          ,100          ,"100           ENSINO SUPERIOR
",,,,
110,110          ,110          ,110            NORMATIZAÇÃO. REGULAMENTAÇÃO,"Enquanto
       vigora",-,"Guarda
Permanente",
120,120          ,120          ,120               CURSOS DE GRADUAÇÃO (INCLUSIVE NA MODALIDADE A DISTÂNCIA),,,,
121,121          ,121          ,"121             CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DOS CURSOS DE GRADUAÇÃO",,,,
121,1211         ,121.1        ,121.1            PROJETO PEDAGÓGICO DOS CURSOS,"Enquanto 
       vigora",-,"Guarda
Permanente",
121,1212         ,121.2        ,121.2            CRIAÇÃO DE CURSOS. CONVERSÃO DE CURSOS,"Até a homologação
do
 ato",5 anos,"Guarda
Permanente",
121,12121        ,121.21       ,121.21         AUTORIZAÇÃO. RECONHECIMENTO.RENOVAÇÃO  DE RECONHECIMENTO,"Até a homologação
do
 ato",5 anos,"Guarda
Permanente",
121,1213         ,121.3        ,121.3            DESATIVAÇÃO DE CURSOS. EXTINÇÃO DE CURSOS,"Até a homologação
do 
ato",5 anos,"Guarda
Permanente",
122,122          ,122          ,122             PLANEJAMENTO E ORGANIZAÇÃO CURRICULAR,,,,
122,1221         ,122.1        ,122.1          ESTRUTURA DO CURRÍCULO (GRADE OU MATRIZ CURRICULAR),Enquanto vigora,-,"Guarda
Permanente",
122,1222         ,122.2        ,122.2          REFORMULAÇÃO CURRICULAR,Enquanto vigora,-,"Guarda
Permanente",
122,1223         ,122.3        ,122.3          DISCIPLINAS: PROGRAMAS DIDÁTICOS,Enquanto vigora,-,"Guarda
Permanente",
122,12231        ,122.31       ,122.31        OFERTA DE DISCIPLINAS,      2 anos,-,     Eliminação,
122,12232        ,122.32       ,122.32        ATIVIDADES COMPLEMENTARES,Enquanto vigora,-,"Guarda
Permanente",
123,123          ,123          ,123           PLANEJAMENTO DA ATIVIDADE ACADÊMICA,,,,
123,1231         ,123.1        ,123.1          CALENDÁRIO ACADÊMICO,Enquanto vigora,-,"Guarda
Permanente",Guardar apenas um exemplar de cada publicação.
